"[0, 1, 3, 0.31680558411626175, 10, 1842]","[0, 1, 3, 0.31680558411626175, 8, 8652]","[0, 1, 3, 0.31680558411626175, 4, 1685939]","[0, 1, 3, 0.31680558411626175, 7, 59499]","[0, 1, 3, 0.31680558411626175, 5, 236647]"
"[0, 1, 3, 0.3173968635997753, 0, 0]","[0, 1, 3, 0.3173968635997753, 0, 0]","[0, 1, 3, 0.3173968635997753, 0, 0]","[0, 1, 3, 0.3173968635997753, 0, 0]","[0, 1, 3, 0.3173968635997753, 0, 0]"
"[0, 1, 3, 0.31688625599968584, 0, 0]","[0, 1, 3, 0.31688625599968584, 0, 0]","[0, 1, 3, 0.31688625599968584, 0, 0]","[0, 1, 3, 0.31688625599968584, 0, 0]","[0, 1, 3, 0.31688625599968584, 0, 0]"
"[0, 1, 0, 1.313372518839458, 0, 0]","[0, 1, 0, 1.313372518839458, 0, 0]","[0, 1, 0, 1.313372518839458, 5, 287427]","[0, 1, 0, 1.313372518839458, 7, 77487]","[0, 1, 0, 1.313372518839458, 4, 1692319]"
"[0, 1, 3, 0.38238772522828646, 0, 0]","[0, 1, 3, 0.38238772522828646, 4, 2780440]","[0, 1, 3, 0.38238772522828646, 5, 319126]","[0, 1, 3, 0.38238772522828646, 7, 82003]","[0, 1, 3, 0.38238772522828646, 4, 60]"
"[0, 2, 1, 0.2500220585088798, 0, 0]","[0, 2, 1, 0.2500220585088798, 0, 0]","[0, 2, 1, 0.2500220585088798, 0, 0]","[0, 2, 1, 0.2500220585088798, 0, 0]","[0, 2, 1, 0.2500220585088798, 0, 0]"
"[0, 1, 3, 0.3964332247868513, 0, 0]","[0, 1, 3, 0.3964332247868513, 0, 0]","[0, 1, 3, 0.3964332247868513, 0, 0]","[0, 1, 3, 0.3964332247868513, 0, 0]","[0, 1, 3, 0.3964332247868513, 0, 0]"
"[0, 2, 0, 0.24767879040154692, 5, 386742]","[0, 2, 0, 0.24767879040154692, 4, 15411]","[0, 2, 0, 0.24767879040154692, 8, 16834]","[0, 2, 0, 0.24767879040154692, 7, 112108]","[0, 2, 0, 0.24767879040154692, 3, 3994]"
"[0, 2, 0, 0.3694679047132093, 3, 107997]","[0, 2, 0, 0.3694679047132093, 3, 209365]","[0, 2, 0, 0.3694679047132093, 14, 87774]","[0, 2, 0, 0.3694679047132093, 7, 116927]","[0, 2, 0, 0.3694679047132093, 5, 770871]"
"[0, 1, 0, 0.21987076890609988, 4, 572]","[0, 1, 0, 0.21987076890609988, 3, 245795]","[0, 1, 0, 0.21987076890609988, 14, 87994]","[0, 1, 0, 0.21987076890609988, 7, 165801]","[0, 1, 0, 0.21987076890609988, 3, 122645]"
"[0, 1, 0, 0.44442103426637675, 5, 836705]","[0, 1, 0, 0.44442103426637675, 3, 300622]","[0, 1, 0, 0.44442103426637675, 8, 24296]","[0, 1, 0, 0.44442103426637675, 7, 183430]","[0, 1, 0, 0.44442103426637675, 4, 35779]"
"[0, 1, 0, 0.2376111891717471, 0, 0]","[0, 1, 0, 0.2376111891717471, 0, 0]","[0, 1, 0, 0.2376111891717471, 0, 0]","[0, 1, 0, 0.2376111891717471, 0, 0]","[0, 1, 0, 0.2376111891717471, 0, 0]"
